
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_70, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_71, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_NEGATIVE_EDGE_LATCH_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_NEGATIVE_EDGE_LATCH_2, 5, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_INT_SYNC_CROSSING_SOURCE_2, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W1_I0_0_37, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_42, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W2_I0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_40, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_41, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS, 469, 965, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLATOMIC_AUTOMATA_PERIPHERY_BUS_SLAVE_TLFRAGMENTER, 123, 425, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLBUFFER_PERIPHERY_BUS_SLAVE_TLFRAGMENTER, 226, 120, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_1_1, 81, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_2, 145, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLFRAGMENTER_PERIPHERY_BUS_SLAVE_TLFRAGMENTER, 111, 205, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_REPEATER_0, 24, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_REPEATER_1, 34, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_REPEATER_2, 20, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLXBAR_PERIPHERY_BUS, 9, 215, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_RESET_CATCH_AND_SYNC_D3_1, 3, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_SYNCHRONIZER_SHIFT_REG_W1_D3_I0_8_5, 3, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W1_I0_1_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_1_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W1_I0_2_36, 1, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_72, 1, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W1_I0_2_37, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_73, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ROCKET_TILE, 2254, 4544, 572, 0, 2, 8, 8, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DCACHE_DCACHE, 377, 744, 124, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_AMOALU, 0, 166, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ARBITER, 0, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ARBITER_1, 0, 126, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DCACHE_DATA_ARRAY, 11, 17, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DATA_ARRAYS_0, 11, 16, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DATA_ARRAYS_0_EXT, 11, 16, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TAG_ARRAY, 0, 7, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TAG_ARRAY_EXT, 0, 7, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLB, 0, 27, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_FRONTEND_FRONTEND, 575, 838, 58, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ICACHE_ICACHE, 182, 405, 28, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DATA_ARRAYS_0_0, 11, 11, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DATA_ARRAYS_0_0_EXT, 11, 11, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TAG_ARRAY_0, 0, 5, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TAG_ARRAY_0_EXT, 0, 5, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_SHIFT_QUEUE, 325, 348, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLB_1, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_INT_SYNC_CROSSING_SINK, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_SYNCHRONIZER_SHIFT_REG_W1_D3, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ROCKET, 921, 2633, 380, 0, 2, 0, 2, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ALU, 0, 442, 33, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_BREAKPOINT_UNIT, 0, 420, 192, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_CSRFILE, 314, 591, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_IBUF, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_MUL_DIV, 120, 269, 121, 0, 2, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLBUFFER_SYSTEM_BUS, 365, 196, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_11, 159, 80, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_14, 121, 67, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_6_2, 85, 49, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLXBAR_TL_MASTER_XBAR, 13, 133, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_SYSTEM_BUS_SBUS, 458, 683, 51, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_SIMPLE_LAZY_MODULE_SYSTEM_BUS_FROM_TILE, 67, 310, 41, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLCACHE_CORK_SYSTEM_BUS, 43, 246, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_6_0, 13, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_6_1, 5, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLFIFOFIXER_SYSTEM_BUS, 24, 64, 20, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLBUFFER_SYSTEM_BUS_SLAVE_TLBUFFER, 362, 180, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_0, 55, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_0_0, 155, 86, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_1, 81, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_1_0, 27, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_4, 21, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_QUEUE_5, 23, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLFIFOFIXER_SYSTEM_BUS_PBUS_TLFIFOFIXER, 12, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLXBAR_SYSTEM_BUS, 17, 149, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLDEBUG_MODULE_DEBUG, 801, 1554, 288, 0, 0, 0, 0, 1, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_TLDEBUG_MODULE_INNER_ASYNC_DM_INNER, 675, 1434, 288, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_QUEUE_SINK_2, 25, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W1_I0_0_23, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_26, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W1_I0_0_27, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_30, 1, 0, 0, 0, 0, 0, 0, 0, 0
